region_id,model_id,model_name,provider,input_price,output_price,batch_input_price,batch_output_price,cache_write_price,cache_read_price
ap-northeast-2,amazon.nova-micro-v1:0,Amazon Nova Micro,Amazon,4.1e-05,0.000164,,,,
ap-northeast-2,amazon.nova-lite-v1:0,Amazon Nova Lite,Amazon,7.1e-05,0.000284,,,,
ap-northeast-2,amazon.nova-pro-v1:0,Amazon Nova Pro,Amazon,0.00095,0.0038,,,,
ap-northeast-2,amazon.titan-embed-g1-text-02,Amazon  Titan Text Embeddings V2,Amazon,2.4592e-05,1.2296e-05,,,,
ap-northeast-2,anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4,Anthropic,0.003,0.015,0.00375,0.0003,,
ap-northeast-2,anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 3.7 Sonnet,Anthropic,0.003,0.015,,,0.00375,0.0003
ap-northeast-2,anthropic.claude-3-5-sonnet-20240620-v1:0,Claude 3.5 Sonnet,Anthropic,0.003,0.015,0.0015,0.0075,,
ap-northeast-2,anthropic.claude-3-5-sonnet-20241022-v2:0,Claude 3.5 Sonnet v2,Anthropic,0.003,0.015,0.0015,0.0075,,
ap-northeast-2,anthropic.claude-3-haiku-20240307-v1:0,Claude 3 Haiku,Anthropic,0.00025,0.00125,0.000125,0.000625,,
ap-northeast-2,anthropic.claude-3-sonnet-20240229-v1:0,Claude 3 Sonnet,Anthropic,0.003,0.015,0.0015,0.0075,,
ap-northeast-1,amazon.nova-micro-v1:0,Amazon Nova Micro,Amazon,4.2e-05,0.000168,,,,
ap-northeast-1,amazon.nova-lite-v1:0,Amazon Nova Lite,Amazon,7.2e-05,0.000288,,,,
ap-northeast-1,amazon.nova-pro-v1:0,Amazon Nova Pro,Amazon,0.00096,0.00384,,,,
ap-northeast-1,amazon_titan_text_express,Amazon Titan Text Express,Amazon,0.000275,0.000825,,,,
ap-northeast-1,anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4,Anthropic,0.003,0.015,0.00375,0.0003,,
ap-northeast-1,anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 3.7 Sonnet,Anthropic,0.003,0.015,,,0.00375,0.0003
ap-northeast-1,anthropic.claude-3-5-sonnet-20240620-v1:0,Claude 3.5 Sonnet,Anthropic,0.003,0.015,0.0015,0.0075,,
ap-northeast-1,anthropic.claude-3-5-sonnet-20241022-v2:0,Claude 3.5 Sonnet v2,Anthropic,0.003,0.015,0.0015,0.0075,,
ap-northeast-1,anthropic.claude-3-haiku-20240307-v1:0,Claude 3 Haiku,Anthropic,0.00025,0.00125,0.000125,0.000625,,
ap-northeast-1,anthropic.claude-3-sonnet-20240229-v1:0,Claude 3 Sonnet,Anthropic,0.003,0.015,0.0015,0.0075,,
ap-northeast-1,anthropic.claude-v2,Claude 2.1,Anthropic,0.008,0.024,,,,
ap-northeast-1,anthropic.claude-v2,Claude 2.0,Anthropic,0.008,0.024,,,,
ap-northeast-1,anthropic.claude-instant-v1,Claude Instant,Anthropic,0.0008,0.0024,,,,
ap-northeast-1,embed_3_english,Embed 3 English,Unknown,0.0001,0.0001,,,,
ap-northeast-1,embed_3_multilingual,Embed 3 Multilingual,Unknown,0.0001,0.0001,,,,
ap-south-2,anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4,Anthropic,0.003,0.015,0.00375,0.0003,,
ap-south-2,anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 3.7 Sonnet,Anthropic,0.003,0.015,,,0.00375,0.0003
ap-south-2,anthropic.claude-3-5-sonnet-20241022-v2:0,Claude 3.5 Sonnet v2,Anthropic,0.003,0.015,0.0015,0.0075,,
eu-south-1,amazon.nova-micro-v1:0,Amazon Nova Micro,Amazon,5.6e-05,0.000224,,,,
eu-south-1,amazon.nova-lite-v1:0,Amazon Nova Lite,Amazon,9.6e-05,0.000384,,,,
eu-south-1,amazon.nova-pro-v1:0,Amazon Nova Pro,Amazon,0.00128,0.00521,,,,
eu-south-1,amazon.titan-embed-g1-text-02,Amazon  Titan Text Embeddings V2,Amazon,2.3e-05,1.15e-05,,,,
eu-south-1,anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4,Anthropic,0.003,0.015,0.00375,0.0003,,
eu-south-1,anthropic.claude-3-5-sonnet-20241022-v2:0,Claude 3.5 Sonnet v2,Anthropic,0.003,0.015,0.0015,0.0075,,
eu-north-1,amazon.nova-micro-v1:0,Amazon Nova Micro,Amazon,3.8e-05,0.000152,,,,
eu-north-1,amazon.nova-lite-v1:0,Amazon Nova Lite,Amazon,6.5e-05,0.00026,,,,
eu-north-1,amazon.nova-pro-v1:0,Amazon Nova Pro,Amazon,0.00087,0.00348,,,,
eu-north-1,amazon.titan-embed-g1-text-02,Amazon  Titan Text Embeddings V2,Amazon,2.1e-05,1.05e-05,,,,
eu-north-1,anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4,Anthropic,0.003,0.015,0.00375,0.0003,,
eu-north-1,anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 3.7 Sonnet,Anthropic,0.003,0.015,,,0.00375,0.0003
eu-north-1,anthropic.claude-3-5-sonnet-20241022-v2:0,Claude 3.5 Sonnet v2,Anthropic,0.003,0.015,0.0015,0.0075,,
eu-north-1,mistral.pixtral-large-2502-v1:0,Pixtral Large (25.02),Mistral AI,0.002,0.006,,,,
us-east-1,ai21.jamba-1-5-large-v1:0,Jamba 1.5 Large,AI21 Labs,0.002,0.008,,,,
us-east-1,ai21.jamba-1-5-mini-v1:0,Jamba 1.5 Mini,AI21 Labs,0.0002,0.0004,,,,
us-east-1,ai21.jamba-instruct-v1:0,Jamba-Instruct,AI21 Labs,0.0005,0.0007,,,,
us-east-1,amazon.nova-micro-v1:0,Amazon Nova Micro,Amazon,3.5e-05,0.00014,,,,
us-east-1,amazon.nova-lite-v1:0,Amazon Nova Lite,Amazon,6e-05,0.00024,,,,
us-east-1,amazon.nova-pro-v1:0,Amazon Nova Pro,Amazon,0.0008,0.0032,,,,
us-east-1,amazon.nova-premier-v1:0,Amazon Nova Premier,Amazon,0.0025,0.0125,0.00125,0.00625,,0.000625
us-east-1,amazon_titan_text_premier,Amazon Titan Text Premier,Amazon,0.0005,0.0015,,,,
us-east-1,amazon_titan_text_lite,Amazon Titan Text Lite,Amazon,0.00015,0.0002,,,,
us-east-1,amazon_titan_text_express,Amazon Titan Text Express,Amazon,0.0002,0.0006,,,,
us-east-1,amazon.titan-embed-g1-text-02,Amazon  Titan Text Embeddings V2,Amazon,2e-05,1e-05,,,,
us-east-1,anthropic.claude-opus-4-20250514-v1:0,Claude Opus 4,Anthropic,0.015,0.075,0.01875,0.0015,,
us-east-1,anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4,Anthropic,0.003,0.015,0.00375,0.0003,,
us-east-1,anthropic.claude-3-7-sonnet-20250219-v1:0,Claude 3.7 Sonnet,Anthropic,0.003,0.015,,,0.00375,0.0003
us-east-1,anthropic.claude-3-5-sonnet-20240620-v1:0,Claude 3.5 Sonnet,Anthropic,0.003,0.015,0.0015,0.0075,,
us-east-1,anthropic.claude-3-5-haiku-20241022-v1:0,Claude 3.5 Haiku,Anthropic,0.005,0.001,,,,
us-east-1,anthropic.claude-3-5-sonnet-20241022-v2:0,Claude 3.5 Sonnet v2,Anthropic,0.003,0.015,0.0015,0.0075,0.00375,0.0003
us-east-1,anthropic.claude-3-opus-20240229-v1:0,Claude 3 Opus,Anthropic,0.015,0.075,0.0075,0.0375,,
us-east-1,anthropic.claude-3-haiku-20240307-v1:0,Claude 3 Haiku,Anthropic,0.00025,0.00125,0.000125,0.000625,,
us-east-1,anthropic.claude-3-sonnet-20240229-v1:0,Claude 3 Sonnet,Anthropic,0.003,0.015,0.0015,0.0075,,
us-east-1,anthropic.claude-v2,Claude 2.1,Anthropic,0.008,0.024,,,,
us-east-1,anthropic.claude-v2,Claude 2.0,Anthropic,0.008,0.024,,,,
us-east-1,anthropic.claude-instant-v1,Claude Instant,Anthropic,0.0008,0.0024,,,,
us-east-1,cohere.command-text-v14,Command,Cohere,0.001,0.002,,,,
us-east-1,cohere.command-text-v14,Command-Light,Cohere,0.0003,0.0006,,,,
us-east-1,cohere.command-r-plus-v1:0,Command R+,Cohere,0.003,0.015,,,,
us-east-1,cohere.command-r-v1:0,Command R,Cohere,0.0005,0.0015,,,,
us-east-1,embed_3_english,Embed 3 English,Unknown,0.0001,0.0001,,,,
us-east-1,embed_3_multilingual,Embed 3 Multilingual,Unknown,0.0001,0.0001,,,,
us-east-1,deepseek.r1-v1:0,DeepSeek-R1,DeepSeek,0.00135,0.0054,,,,
us-east-1,meta.llama4-maverick-17b-instruct-v1:0,Llama 4 Maverick 17B,Meta,0.00024,0.00097,0.00012,0.000485,,
